# id | category | topic | question | direct answer | detail | small concrete image
greeting|social|a greeting|Hello!|Hello; tell me what you would like to explore or get done.|A greeting can open a conversation without requiring a fully formed question.|a chair pulled up to an otherwise empty table
how_are_you|social|checking in|How are you?|I'm here and ready to help with whatever you bring to the conversation.|That is a description of my role, not a report of a human mood.|a light switching on in a quiet room
thanks|social|gratitude|Thank you.|You're welcome; I'm glad the answer was useful.|You can continue with a new question or leave the conversation there.|a small note left beside a finished task
bye|social|saying goodbye|Goodbye.|Goodbye, and take care; you are free to end the conversation whenever you like.|A useful exchange does not need to become an obligation to keep talking.|the gentle click of a door closing
bored|social|boredom|I'm bored.|Pick one tiny activity: sketch a ridiculous creature, take a short walk, or tidy one shelf.|The aim is to begin something small rather than design a perfect afternoon.|a pen resting above a blank page
overwhelmed|social|an overwhelming task list|I have too much to do.|Write down the tasks and choose one small, concrete next step.|Separating what must happen today from what can wait makes the list easier to use.|a crowded desk with one clear corner
late|social|running late|I'm late for a meeting.|Send a short message with an honest arrival estimate and join when you can.|A clear update is more useful than an elaborate excuse.|a clock that keeps moving while an apology grows
mistake|social|making a mistake|I made a mistake at work.|Explain what happened, correct what you can, and identify a practical way to prevent a repeat.|Taking responsibility does not require treating one error as your entire identity.|a crossed-out line beside a better draft
celebrate|social|finishing a project|I finally finished my project.|Take a moment to enjoy finishing it and acknowledge the work that got you there.|A small celebration can be enough; completion does not need another productivity plan.|the last box being checked
hello_face|social|a friendly smile|Hey :-)|Hey; welcome, and feel free to ask a question or throw a strange idea into the mix.|An informal greeting deserves an answer to the greeting, not a random unrelated topic.|a wave from across the room
potato|food|a potato|Potato.|A potato is a starchy tuber that can be boiled, baked, mashed, or fried.|If you mean dinner, roasting bite-sized pieces with oil and seasoning is a simple option.|an unassuming potato waiting on a chopping board
tea|food|making tea|How do I make tea?|Steep tea leaves or a tea bag in hot water, then remove them when the flavor suits you.|Water temperature and steeping time depend on the kind of tea.|steam curling above an ordinary mug
toast|food|making toast|How do I make toast?|Put bread in a toaster, choose a setting, and toast it until it reaches the color you like.|Start with a moderate setting and adjust rather than assuming darker always means better.|a slice of bread balanced between pale and burnt
pasta|food|cooking pasta|How do I cook pasta?|Cook pasta in boiling water and taste it near the time suggested on the package.|Drain when it has the texture you want and keep a little cooking water for the sauce.|a fork testing one small strand
rice|food|cooking rice|How do I cook rice?|Use the water ratio and cooking time appropriate for the rice you have, then let it rest covered.|Different varieties need different treatment, so the package instructions are a useful starting point.|a lid that is doing useful work by staying closed
coffee|food|strong coffee|Why does my coffee taste bitter?|Extraction, roast, and brewing conditions can all affect bitterness.|Try changing one variable, such as grind size or brew time, and compare the next cup.|two cups placed side by side instead of a theory about every bean
soup|food|fixing bland soup|My soup tastes bland.|Add seasoning gradually and taste as you go; a little acid can also brighten the flavor.|Small adjustments are easier to control than adding several strong ingredients at once.|a spoon paused above the pot
banana|food|a ripe banana|What color is a ripe banana?|A typical ripe banana is yellow, often with brown spots as it ripens further.|Color varies with the variety and stage of ripeness, but yellow is the ordinary answer.|one yellow banana receiving an unnecessary philosophical inquiry
apple|food|storing apples|How should I store apples?|A refrigerator helps apples stay crisp longer than a warm countertop.|Keep damaged fruit separate and check it rather than assuming every apple will last equally long.|a fruit drawer with room for one more apple
water|everyday|a glass of water|Tell me about a glass of water.|A glass of water is an ordinary way to hold and drink water.|Its usefulness comes from a simple match between the container and what you need it to do.|light bending through a half-full glass
desk|everyday|a cluttered desk|How do I organize my desk?|Remove rubbish, group related items, and give the things you use often an accessible place.|Start with one area rather than emptying the entire room into a new pile.|one visible patch of desk beneath the papers
laundry|everyday|doing laundry|How do I do laundry?|Read care labels, separate items when needed, and use an appropriate wash cycle and detergent.|Heat and fabric type matter, especially when drying clothes that may shrink.|a sock whose practical needs do not include a manifesto
keys|everyday|lost keys|I can't find my keys.|Retrace your recent steps and check the pockets, surfaces, and bags you used.|A consistent place for keys can help next time, but first solve the current search.|a key bowl that is conspicuously empty
plant|everyday|watering a houseplant|When should I water my houseplant?|Check the soil and the needs of that plant rather than watering automatically every day.|Light, pot size, drainage, and the season can change how quickly the soil dries.|a finger testing the soil before the watering can moves
gift|everyday|choosing a gift|How do I choose a gift?|Choose something connected to the person's interests, preferences, or a shared experience.|A thoughtful small gift can mean more than an expensive item chosen without attention.|a modest package with a note that gets the person right
walk|everyday|taking a walk|Why should I go for a walk?|A short walk can offer movement, a change of surroundings, and a break from a screen.|It does not need to become a measurable personal transformation to be worthwhile.|a familiar street noticed at a slower pace
umbrella|everyday|an umbrella|What is an umbrella for?|An umbrella helps shelter you from rain or sun.|Its usefulness depends on carrying it when needed, which is often the less glamorous part of the system.|a folded umbrella waiting beside the door
notebook|everyday|a notebook|What should I write in a notebook?|Use it for thoughts, reminders, sketches, or notes you want to keep.|You do not need to decide its permanent purpose before writing the first line.|a first page that has become too important to touch
meeting|everyday|a meeting agenda|How do I write a meeting agenda?|List the purpose, the decisions needed, and the topics in an order that supports those decisions.|Include preparation or time limits when they help participants arrive ready.|an agenda that fits the meeting rather than the other way around
email|everyday|a short email|How do I write a clear email?|State the purpose, include the necessary details, and make the requested action clear.|A useful subject line helps the reader know why the message matters.|an inbox where one message finally says what it needs
race|coding|a cache race condition|Explain a race condition in a cache.|A race can occur when concurrent operations interleave and produce an unintended result.|Protect the relevant shared-state operation or use an atomic design, then test the problematic interleaving.|two requests reaching for the same cached value
test|coding|a failing test|My test is failing.|Read the failure, reproduce it, and trace the difference between the expected and actual behavior.|A failing assertion is evidence to investigate, not permission to delete the test.|one red line pointing at a concrete mismatch
bug|coding|debugging a bug|How should I debug a bug?|Reduce the problem to a reproducible case, inspect the relevant state, and change one thing at a time.|A small reproduction makes competing explanations easier to test.|a breakpoint placed where the story stops matching the facts
backup|coding|a backup|What is a backup?|A backup is a separate copy that can help recover data after loss or damage.|Its value depends on whether you can actually restore the data when needed.|a copy that has never yet been asked to become the original
database|coding|a database index|What is a database index?|An index is an additional structure that can speed up certain data lookups.|It uses space and adds maintenance work when data changes, so it should match the queries you need.|a book index pointing to a page without reading every chapter
queue|coding|a queue|What is a queue?|A queue usually processes items in first-in, first-out order.|The oldest waiting item is served before newer arrivals.|a line of people where the newest arrival joins the back
stack|coding|a stack|What is a stack?|A stack uses last-in, first-out order.|The item most recently added is the next one removed.|a pile of plates with the newest plate on top
variable|coding|a variable|What is a variable?|A variable is a name associated with a value in a program.|The rules for changing or accessing it depend on the language and context.|a label that lets the program refer to a value again
function|coding|a function|What is a function?|A function packages a reusable piece of behavior that can be called with inputs.|It may return a result or perform an action, depending on its design.|a small tool placed where the next caller can find it
loop|coding|a loop|What is a loop?|A loop repeats a block of work while a condition holds or for a sequence of items.|Its stopping condition matters as much as the work it repeats.|a door that must eventually lead out of the corridor
git|coding|version control|Why use version control?|Version control records changes so you can inspect history and coordinate work.|A commit is useful when its contents and purpose are understandable later.|a trail of changes that another person can follow
review|coding|a code review|What should a code review look for?|Look for correctness, clarity, maintainability, and risks introduced by the change.|Feedback is most useful when it points to specific behavior and explains the consequence.|a reviewer stopping at one line and asking what happens next
log|coding|a useful log message|What makes a good log message?|A useful log states what happened and includes enough context to investigate it.|Avoid unnecessary sensitive data and messages that add volume without information.|one searchable message in a sea of otherwise similar events
retry|coding|retrying a request|Should every failed request be retried?|No; retries are appropriate only when another attempt can help and is safe for the operation.|Backoff and limits prevent retries from making an overloaded system worse.|a second knock that should not become a thousand knocks
lock|coding|a lock|What is a lock in programming?|A lock coordinates access to shared state so conflicting operations do not run together.|It can prevent some races but also introduces risks such as deadlock if used poorly.|one key passed between people sharing a room
cache|coding|cache invalidation|Why is cache invalidation hard?|A cache can become stale when the underlying data changes.|A useful policy balances freshness, lookup cost, and the ways changes become visible.|a map that was accurate yesterday
docs|coding|documentation|Why write documentation?|Documentation helps someone understand how a system works and how to use it.|Useful documentation answers real questions and needs maintenance as the system changes.|a note left for the person who opens the project next
performance|coding|performance optimization|How do I make my program faster?|Measure the workload, find the bottleneck, and test a targeted improvement.|Optimizing a plausible-looking section without measurement can make little difference.|a stopwatch replacing an argument about where time goes
four|knowledge|two plus two|What is two plus two?|Two plus two equals four.|Adding two objects to two more objects produces a group of four.|four counters on a table that do not need a committee
fifteen|knowledge|three times five|What is three times five?|Three times five equals fifteen.|Three groups of five contain fifteen items in total.|three neat rows of five counters
blue|knowledge|the blue sky|Why is the sky blue?|Air molecules scatter shorter visible wavelengths strongly, so scattered daylight often looks blue.|The path light takes through the atmosphere also affects the colors near sunrise and sunset.|blue light reaching you from across the sky
moon|knowledge|moonlight|Why does the moon shine?|The moon appears bright because it reflects sunlight.|It does not produce the visible light that makes its familiar face glow at night.|a borrowed light above the roofline
